"","CDS_TRUE_ID","CDS_Region","CDS_Begin","CDS_End","CDS_Orientation","CDS_ID","CDS_Parent","CDS_Dbxref","CDS_Name","CDS_Note","Locus.tag","CDS_product","CDS_protein_id"
"5","cds-ABG42832.1_426.1199","CDS",426,1199,"plus","cds-ABG42832.1","gene-CyHV3_ORF1_1","NCBI_GP:ABG42832.1","ABG42832.1",NA,"CyHV3_ORF1_1","protein ORF1","ABG42832.1"
"8","cds-ABG42833.1_1635.3503","CDS",1635,3503,"minus","cds-ABG42833.1","gene-CyHV3_ORF2_1","NCBI_GP:ABG42833.1","ABG42833.1","ORF2 family","CyHV3_ORF2_1","protein ORF2","ABG42833.1"
"11","cds-ABG42834.1_4299.6914","CDS",4299,6914,"plus","cds-ABG42834.1","gene-CyHV3_ORF3_1","NCBI_GP:ABG42834.1","ABG42834.1","possibly ORF2 family","CyHV3_ORF3_1","protein ORF3","ABG42834.1"
"14","cds-ABG42835.1_7386.8327","CDS",7386,8327,"plus","cds-ABG42835.1","gene-CyHV3_ORF4_1","NCBI_GP:ABG42835.1","ABG42835.1","TNFR family","CyHV3_ORF4_1","protein ORF4","ABG42835.1"
"17","cds-ABG42836.1_8606.9949","CDS",8606,9949,"plus","cds-ABG42836.1","gene-CyHV3_ORF5_1","NCBI_GP:ABG42836.1","ABG42836.1",NA,"CyHV3_ORF5_1","protein ORF5","ABG42836.1"
"20","cds-ABG42837.2_11975.13754","CDS",11975,13754,"minus","cds-ABG42837.2","gene-CyHV3_ORF6_1","NCBI_GP:ABG42837.2","ABG42837.2",NA,"CyHV3_ORF6_1","protein ORF6","ABG42837.2"
"21","cds-ABG42837.2_11491.11888","CDS",11491,11888,"minus","cds-ABG42837.2","gene-CyHV3_ORF6_1","NCBI_GP:ABG42837.2","ABG42837.2",NA,"CyHV3_ORF6_1","protein ORF6","ABG42837.2"
"24","cds-ABG42839.1_17849.18718","CDS",17849,18718,"minus","cds-ABG42839.1","gene-CyHV3_ORF8_1","NCBI_GP:ABG42839.1","ABG42839.1",NA,"CyHV3_ORF8_1","protein ORF8","ABG42839.1"
"26","cds-ABG42838.1_16216.17497","CDS",16216,17497,"minus","cds-ABG42838.1","gene-CyHV3_ORF7_1","NCBI_GP:ABG42838.1","ABG42838.1",NA,"CyHV3_ORF7_1","protein ORF7","ABG42838.1"
"27","cds-ABG42838.1_14864.16008","CDS",14864,16008,"minus","cds-ABG42838.1","gene-CyHV3_ORF7_1","NCBI_GP:ABG42838.1","ABG42838.1",NA,"CyHV3_ORF7_1","protein ORF7","ABG42838.1"
"31","cds-ABG42840.1_22928.24724","CDS",22928,24724,"minus","cds-ABG42840.1","gene-CyHV3_ORF9","NCBI_GP:ABG42840.1","ABG42840.1","ORF2 family","CyHV3_ORF9","protein ORF9","ABG42840.1"
"34","cds-ABG42841.1_24962.25538","CDS",24962,25538,"plus","cds-ABG42841.1","gene-CyHV3_ORF10","NCBI_GP:ABG42841.1","ABG42841.1",NA,"CyHV3_ORF10","protein ORF10","ABG42841.1"
"35","cds-ABG42841.1_25642.29147","CDS",25642,29147,"plus","cds-ABG42841.1","gene-CyHV3_ORF10","NCBI_GP:ABG42841.1","ABG42841.1",NA,"CyHV3_ORF10","protein ORF10","ABG42841.1"
"38","cds-ABG42843.1_29795.30181","CDS",29795,30181,"minus","cds-ABG42843.1","gene-CyHV3_ORF12","NCBI_GP:ABG42843.1","ABG42843.1","TNFR family","CyHV3_ORF12","protein ORF12","ABG42843.1"
"40","cds-ABG42842.1_29304.29666","CDS",29304,29666,"minus","cds-ABG42842.1","gene-CyHV3_ORF11","NCBI_GP:ABG42842.1","ABG42842.1",NA,"CyHV3_ORF11","protein ORF11","ABG42842.1"
"43","cds-ABG42846.1_30877.31065","CDS",30877,31065,"minus","cds-ABG42846.1","gene-CyHV3_ORF15","NCBI_GP:ABG42846.1","ABG42846.1",NA,"CyHV3_ORF15","protein ORF15","ABG42846.1"
"45","cds-ABG42845.1_30506.30790","CDS",30506,30790,"minus","cds-ABG42845.1","gene-CyHV3_ORF14","NCBI_GP:ABG42845.1","ABG42845.1",NA,"CyHV3_ORF14","protein ORF14","ABG42845.1"
"47","cds-ABG42844.1_30270.30503","CDS",30270,30503,"minus","cds-ABG42844.1","gene-CyHV3_ORF13","NCBI_GP:ABG42844.1","ABG42844.1",NA,"CyHV3_ORF13","protein ORF13","ABG42844.1"
"50","cds-ABG42847.1_31341.32417","CDS",31341,32417,"minus","cds-ABG42847.1","gene-CyHV3_ORF16","NCBI_GP:ABG42847.1","ABG42847.1",NA,"CyHV3_ORF16","membrane protein ORF16","ABG42847.1"
"53","cds-ABG42848.1_32572.34596","CDS",32572,34596,"minus","cds-ABG42848.1","gene-CyHV3_ORF17","NCBI_GP:ABG42848.1","ABG42848.1",NA,"CyHV3_ORF17","protein ORF17","ABG42848.1"
"56","cds-ABG42849.1_34812.37049","CDS",34812,37049,"minus","cds-ABG42849.1","gene-CyHV3_ORF18","NCBI_GP:ABG42849.1","ABG42849.1",NA,"CyHV3_ORF18","protein ORF18","ABG42849.1"
"59","cds-ABG42850.1_37148.37873","CDS",37148,37873,"plus","cds-ABG42850.1","gene-CyHV3_ORF19","NCBI_GP:ABG42850.1","ABG42850.1",NA,"CyHV3_ORF19","deoxyguanosine kinase","ABG42850.1"
"62","cds-ABG42851.1_38042.39091","CDS",38042,39091,"minus","cds-ABG42851.1","gene-CyHV3_ORF20","NCBI_GP:ABG42851.1","ABG42851.1",NA,"CyHV3_ORF20","protein ORF20","ABG42851.1"
"65","cds-ABG42852.1_39209.40219","CDS",39209,40219,"plus","cds-ABG42852.1","gene-CyHV3_ORF21","NCBI_GP:ABG42852.1","ABG42852.1",NA,"CyHV3_ORF21","protein ORF21","ABG42852.1"
"67","cds-ABG42853.1_40216.41982","CDS",40216,41982,"plus","cds-ABG42853.1","gene-CyHV3_ORF22","NCBI_GP:ABG42853.1","ABG42853.1","ORF22 family","CyHV3_ORF22","protein ORF22","ABG42853.1"
"70","cds-ABG42854.1_42201.43208","CDS",42201,43208,"plus","cds-ABG42854.1","gene-CyHV3_ORF23","NCBI_GP:ABG42854.1","ABG42854.1",NA,"CyHV3_ORF23","ribonucleotide reductase subunit 2","ABG42854.1"
"73","cds-ABG42855.1_43672.45411","CDS",43672,45411,"plus","cds-ABG42855.1","gene-CyHV3_ORF24","NCBI_GP:ABG42855.1","ABG42855.1","ORF22 family","CyHV3_ORF24","protein ORF24","ABG42855.1"
"76","cds-ABG42856.1_45570.47375","CDS",45570,47375,"plus","cds-ABG42856.1","gene-CyHV3_ORF25","NCBI_GP:ABG42856.1","ABG42856.1","ORF25 family","CyHV3_ORF25","membrane protein ORF25","ABG42856.1"
"78","cds-AFD97198.1_47474.47644","CDS",47474,47644,"plus","cds-AFD97198.1","gene-CyHV3_ORF26","NCBI_GP:AFD97198.1","AFD97198.1","ORF25 family%3B frameshifted","CyHV3_ORF26","truncated membrane protein ORF26","AFD97198.1"
"81","cds-AFD97199.1_48534.48740","CDS",48534,48740,"plus","cds-AFD97199.1","gene-CyHV3_ORF27","NCBI_GP:AFD97199.1","AFD97199.1","ORF25 family%3B frameshifted","CyHV3_ORF27","truncated membrane protein ORF27","AFD97199.1"
"84","cds-ABG42857.1_49991.51109","CDS",49991,51109,"minus","cds-ABG42857.1","gene-CyHV3_ORF28","NCBI_GP:ABG42857.1","ABG42857.1",NA,"CyHV3_ORF28","protein ORF28","ABG42857.1"
"87","cds-ABG42858.1_51637.52740","CDS",51637,52740,"plus","cds-ABG42858.1","gene-CyHV3_ORF29","NCBI_GP:ABG42858.1","ABG42858.1",NA,"CyHV3_ORF29","membrane protein ORF29","ABG42858.1"
"90","cds-AFD97200.1_52909.53709","CDS",52909,53709,"plus","cds-AFD97200.1","gene-CyHV3_ORF30","NCBI_GP:AFD97200.1","AFD97200.1","frameshifted by a 23 bp deletion","CyHV3_ORF30","truncated membrane protein ORF30","AFD97200.1"
"92","cds-ABG42861.2_83445.84221","CDS",83445,84221,"minus","cds-ABG42861.2","gene-CyHV3_ORF33","NCBI_GP:ABG42861.2","ABG42861.2",NA,"CyHV3_ORF33","DNA packaging terminase subunit 1","ABG42861.2"
"93","cds-ABG42861.2_83162.83365","CDS",83162,83365,"minus","cds-ABG42861.2","gene-CyHV3_ORF33","NCBI_GP:ABG42861.2","ABG42861.2",NA,"CyHV3_ORF33","DNA packaging terminase subunit 1","ABG42861.2"
"94","cds-ABG42861.2_55128.56513","CDS",55128,56513,"minus","cds-ABG42861.2","gene-CyHV3_ORF33","NCBI_GP:ABG42861.2","ABG42861.2",NA,"CyHV3_ORF33","DNA packaging terminase subunit 1","ABG42861.2"
"96","cds-ABG42859.1_53968.54336","CDS",53968,54336,"minus","cds-ABG42859.1","gene-CyHV3_ORF31","NCBI_GP:ABG42859.1","ABG42859.1",NA,"CyHV3_ORF31","protein ORF31","ABG42859.1"
"99","cds-ABG42860.1_54492.55073","CDS",54492,55073,"plus","cds-ABG42860.1","gene-CyHV3_ORF32","NCBI_GP:ABG42860.1","ABG42860.1",NA,"CyHV3_ORF32","protein ORF32","ABG42860.1"
"102","cds-ABG42862.1_56545.57000","CDS",56545,57000,"plus","cds-ABG42862.1","gene-CyHV3_ORF34","NCBI_GP:ABG42862.1","ABG42862.1",NA,"CyHV3_ORF34","protein ORF34","ABG42862.1"
"104","cds-ABG42863.1_57082.58050","CDS",57082,58050,"plus","cds-ABG42863.1","gene-CyHV3_ORF35","NCBI_GP:ABG42863.1","ABG42863.1",NA,"CyHV3_ORF35","protein ORF35","ABG42863.1"
"106","cds-ABG42864.1_58097.58576","CDS",58097,58576,"plus","cds-ABG42864.1","gene-CyHV3_ORF36","NCBI_GP:ABG42864.1","ABG42864.1",NA,"CyHV3_ORF36","protein ORF36","ABG42864.1"
"108","cds-ABG42865.1_58645.58977","CDS",58645,58977,"minus","cds-ABG42865.1","gene-CyHV3_ORF37","NCBI_GP:ABG42865.1","ABG42865.1",NA,"CyHV3_ORF37","protein ORF37","ABG42865.1"
"112","cds-ABG42867.1_59488.59793","CDS",59488,59793,"minus","cds-ABG42867.1","gene-CyHV3_ORF39","NCBI_GP:ABG42867.1","ABG42867.1",NA,"CyHV3_ORF39","membrane protein ORF39","ABG42867.1"
"114","cds-ABG42866.1_59055.59486","CDS",59055,59486,"minus","cds-ABG42866.1","gene-CyHV3_ORF38","NCBI_GP:ABG42866.1","ABG42866.1",NA,"CyHV3_ORF38","protein ORF38","ABG42866.1"
"117","cds-ABG42868.1_60627.62153","CDS",60627,62153,"minus","cds-ABG42868.1","gene-CyHV3_ORF41","NCBI_GP:ABG42868.1","ABG42868.1","RING family","CyHV3_ORF41","protein ORF41","ABG42868.1"
"119","cds-AFD97201.1_60044.60598","CDS",60044,60598,"minus","cds-AFD97201.1","gene-CyHV3_ORF40","NCBI_GP:AFD97201.1","AFD97201.1","frameshifted","CyHV3_ORF40","truncated membrane protein ORF40","AFD97201.1"
"122","cds-ABG42869.1_62972.69325","CDS",62972,69325,"minus","cds-ABG42869.1","gene-CyHV3_ORF42","NCBI_GP:ABG42869.1","ABG42869.1",NA,"CyHV3_ORF42","protein ORF42","ABG42869.1"
"125","cds-ABG42870.1_69324.73685","CDS",69324,73685,"plus","cds-ABG42870.1","gene-CyHV3_ORF43","NCBI_GP:ABG42870.1","ABG42870.1",NA,"CyHV3_ORF43","protein ORF43","ABG42870.1"
"128","cds-ABG42871.1_74077.74901","CDS",74077,74901,"plus","cds-ABG42871.1","gene-CyHV3_ORF44","NCBI_GP:ABG42871.1","ABG42871.1",NA,"CyHV3_ORF44","protein ORF44","ABG42871.1"
"130","cds-ABG42872.1_74760.76658","CDS",74760,76658,"plus","cds-ABG42872.1","gene-CyHV3_ORF45","NCBI_GP:ABG42872.1","ABG42872.1",NA,"CyHV3_ORF45","protein ORF45","ABG42872.1"
"132","cds-ABG42873.1_76615.79059","CDS",76615,79059,"plus","cds-ABG42873.1","gene-CyHV3_ORF46","NCBI_GP:ABG42873.1","ABG42873.1",NA,"CyHV3_ORF46","helicase-primase primase subunit","ABG42873.1"
"134","cds-ABG42874.1_78960.80966","CDS",78960,80966,"plus","cds-ABG42874.1","gene-CyHV3_ORF47","NCBI_GP:ABG42874.1","ABG42874.1",NA,"CyHV3_ORF47","protein Allo64","ABG42874.1"
"136","cds-ABG42875.1_80575.83208","CDS",80575,83208,"plus","cds-ABG42875.1","gene-CyHV3_ORF48","NCBI_GP:ABG42875.1","ABG42875.1",NA,"CyHV3_ORF48","protein ORF48","ABG42875.1"
